"
List of police forces of the United Kingdom";Region
Avon and Somerset;South West England
Bedfordshire;East of England
Cambridgeshire;East of England
Cheshire;North West England
City of London;Greater London
Cleveland;North East England
Cumbria;North West England
Derbyshire;East Midlands
Devon and Cornwall;South West England
Dorset;South West England
Durham;North East England
Dyfed-Powys;Wales
Essex;East of England
Gloucestershire;South West England
Greater Manchester;North West England
Gwent;Wales
Hampshire;South East England
Hertfordshire;East of England
Humberside;Yorkshire and the Humber
Kent;South East England
Lancashire;North West England
Leicestershire;East Midlands
Lincolnshire;East Midlands
Merseyside;North West England
Metropolitan Police;Greater London
Norfolk;East of England
North Wales;Wales
Northamptonshire;East Midlands
Northumbria;North East England
North Yorkshire;Yorkshire and the Humber
Nottinghamshire;East Midlands
Northern;Northern Ireland
Police Service of Scotland;Scotland
South Wales;Wales
South Yorkshire;Yorkshire and the Humber
Staffordshire;West Midlands
Suffolk;East of England
Surrey;South East England
Sussex;South East England
Thames Valley;South East England
Warwickshire;West Midlands
West Mercia;West Midlands
West Midlands;West Midlands
West Yorkshire;Yorkshire and the Humber
Wiltshire;South West England
Grampian;Scotland
Tayside;Scotland
Fife;Scotland
Lothian and Borders;Scotland
Central;Scotland
Strathclyde;Scotland
Dumfries and Galloway;Scotland
